"otu","kingdom","phylum","class","order","family","genus"
"Otu0001","Viruses","","","","Phycodnaviridae","Prasinovirus"
"Otu0002","Viruses","","","Caudovirales","Siphoviridae","Sfi1unalikevirus"
"Otu0003","Viruses","","","Herpesvirales","Herpesviridae","Simplexvirus"
"Otu0004","Viruses","","","Caudovirales","Siphoviridae","C2likevirus"
"Otu0005","Viruses","","","","Poxviridae","Parapoxvirus"
"Otu0006","Viruses","","","","Papillomaviridae","Dyolambdapapillomavirus"
"Otu0007","Viruses","","","Caudovirales","Siphoviridae","Bignuzlikevirus"
"Otu0008","Viruses","","","Mononegavirales","Bornaviridae","Bornavirus"
"Otu0009","Viruses","","","","Bicaudaviridae","Bicaudavirus"
"Otu0010","Viruses","","","Picornavirales","Picornaviridae","Aquamavirus"
"Otu0011","Viruses","","","Herpesvirales","Herpesviridae","Scutavirus"
"Otu0012","Viruses","","","Herpesvirales","Herpesviridae","Mardivirus"
"Otu0013","Viruses","","","","Baculoviridae","Deltabaculovirus"
"Otu0014","Viruses","","","","Papillomaviridae","Taupapillomavirus"
"Otu0015","Viruses","","","Caudovirales","Myoviridae","I3likevirus"
"Otu0016","Viruses","","","","Virgaviridae","Furovirus"
"Otu0017","Viruses","","","Herpesvirales","Herpesviridae","Proboscivirus"
"Otu0018","Viruses","","","Herpesvirales","Alloherpesviridae","Ictalurivirus"
"Otu0019","Viruses","","","","Inoviridae","Inovirus"
"Otu0020","Viruses","","","","Marseilleviridae","Marseillevirus"
"Otu0021","Viruses","","","Nidovirales","Coronaviridae","Gammacoronavirus"
"Otu0022","Viruses","","","","Anelloviridae","Thetatorquevirus"
"Otu0023","Viruses","","","","Ascoviridae","Ascovirus"
"Otu0024","Viruses","","","Tymovirales","Tymoviridae","Maculavirus"
"Otu0025","Viruses","","","","","Negevirus"
"Otu0026","Viruses","","","Caudovirales","Myoviridae","Spo1virus"
"Otu0027","Viruses","","","","Circoviridae","Gyrovirus"
"Otu0028","Viruses","","","Mononegavirales","Rhabdoviridae","Novirhabdovirus"
"Otu0029","Viruses","","","Picornavirales","Picornaviridae","Sicinivirus"
"Otu0030","Viruses","","","Mononegavirales","","Pneumovirus"
"Otu0031","Viruses","","","Picornavirales","Picornaviridae","Dicipivirus"
"Otu0032","Viruses","","","","Poxviridae","Molluscipoxvirus"
"Otu0033","Viruses","","","Tymovirales","Tymoviridae","Tymovirus"
"Otu0034","Viruses","","","","Arenaviridae","Mammarenavirus"
"Otu0035","Viruses","","","","Totiviridae","Victorivirus"
"Otu0036","Viruses","","","","Flaviviridae","Hepacivirus"
"Otu0037","Viruses","","","","Poxviridae","Alphaentomopoxvirus"
"Otu0038","Viruses","","","","Anelloviridae","Gammatorquevirus"
"Otu0039","Viruses","","","Tymovirales","Gammaflexiviridae","Mycoflexivirus"
"Otu0040","Viruses","","","","","Tenuivirus"
"Otu0041","Viruses","","","","Hepeviridae","Piscihepevirus"
"Otu0042","Viruses","","","","Virgaviridae","Pomovirus"
"Otu0043","Viruses","","","","Caulimoviridae","Badnavirus"
"Otu0044","Viruses","","","","Polydnaviridae","Ichnovirus"
"Otu0045","Viruses","","","Herpesvirales","Herpesviridae","Percavirus"
"Otu0046","Viruses","","","","Papillomaviridae","Betapapillomavirus"
"Otu0047","Viruses","","","","Togaviridae","Alphavirus"
"Otu0048","Viruses","","","Tymovirales","Betaflexiviridae","Trichovirus"
"Otu0049","Viruses","","","Caudovirales","Podoviridae","Bcep22likevirus"
"Otu0050","Viruses","","","Tymovirales","Alphaflexiviridae","Sclerodarnavirus"
"Otu0051","Viruses","","","","Phycodnaviridae","Coccolithovirus"
"Otu0052","Viruses","","","Ligamenvirales","Lipothrixviridae","Deltalipothrixvirus"
"Otu0053","Viruses","","","","Papillomaviridae","Omikronpapillomavirus"
"Otu0054","Viruses","","","","Retroviridae","Alpharetrovirus"
"Otu0055","Viruses","","","Caudovirales","Siphoviridae","Jerseylikevirus"
"Otu0056","Viruses","","","","Poxviridae","Capripoxvirus"
"Otu0057","Viruses","","","","Poxviridae","Cervidpoxvirus"
"Otu0058","Viruses","","","","","Higrevirus"
"Otu0059","Viruses","","","","Potyviridae","Bymovirus"
"Otu0060","Viruses","","","Caudovirales","Podoviridae","Phikmvlikevirus"
"Otu0061","Viruses","","","Picornavirales","Picornaviridae","Tremovirus"
"Otu0062","Viruses","","","Picornavirales","Secoviridae","Torradovirus"
"Otu0063","Viruses","","","Caudovirales","Siphoviridae","T5likevirus"
"Otu0064","Viruses","","","Nidovirales","Coronaviridae","Bafinivirus"
"Otu0065","Viruses","","","","Baculoviridae","Alphabaculovirus"
"Otu0066","Viruses","","","","Papillomaviridae","Mupapillomavirus"
"Otu0067","Viruses","","","Caudovirales","Siphoviridae","Lambdalikevirus"
"Otu0068","Viruses","","","Caudovirales","Myoviridae","Felixounalikevirus"
"Otu0069","Viruses","","","","Papillomaviridae","Phipapillomavirus"
"Otu0070","Viruses","","","","Papillomaviridae","Omegapapillomavirus"
"Otu0071","Viruses","","","Nidovirales","Coronaviridae","Betacoronavirus"
"Otu0072","Viruses","","","","Luteoviridae","Enamovirus"
"Otu0073","Viruses","","","","Phycodnaviridae","Chlorovirus"
"Otu0074","Viruses","","","","Hypoviridae","Hypovirus"
"Otu0075","Viruses","","","","Anelloviridae","Alphatorquevirus"
"Otu0076","Viruses","","","Picornavirales","Dicistroviridae","Aparavirus"
"Otu0077","Viruses","","","","","Pithovirus"
"Otu0078","Viruses","","","","Phycodnaviridae","Phaeovirus"
"Otu0079","Viruses","","","Picornavirales","Picornaviridae","Hepatovirus"
"Otu0080","Viruses","","","","Virgaviridae","Tobamovirus"
"Otu0081","Viruses","","","Caudovirales","Siphoviridae","Barnyardlikevirus"
"Otu0082","Viruses","","","","Baculoviridae","Betabaculovirus"
"Otu0083","Viruses","","","","Arenaviridae","Arenavirus"
"Otu0084","Viruses","","","Picornavirales","Marnaviridae","Marnavirus"
