"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"s6522",659,11244,1758.22039563387,777.20993193408,13.8935819478543,3.63137802124305,0.942114057414464,17.2753514123458,81.2225780281026
"s6574",771,1852.5,205.547798291885,1268.5383386915,19.4739966314987,3.37265080003297,0.921812481508612,12.789765160665,97.1640566301069
"s6538",919,1007.61052631579,17.3592452810736,1073.06773135525,16.38622443625,3.76740622120225,0.946663792371585,18.7489895600911,118.829510160557
"s6589",540,540,0,540,11.5803153542425,3.62236393132956,0.946415998489329,18.6622867237873,64.742858169874
"s6548",676,820.157894736842,29.4006698139665,844.533826852634,14.806603209564,2.97611641075728,0.819897981795453,5.55240862911527,83.6098761399361
"s6588",491,491,0,491,11.0283840422106,3.76794937501817,0.956660449465738,23.0736126164818,58.1144984557879
"s6488",657,1145.94230769231,96.1658336828712,962.041700446875,16.0192130751411,3.22547637964627,0.899493892026407,9.9496440580779,80.9356467253209
"s6547",710,836.611650485437,26.0578038888687,866.621011943155,14.9863351507899,3.89207439471233,0.960809548460118,25.5164194518748,88.4315758835724
"s6479",781,896.142857142857,24.1318123281965,902.010081356584,14.7444795935501,3.66401647734101,0.943131732960983,17.5844992658894,98.6072093852751
"s6591",435,548.01724137931,27.8856102185785,560.182356132907,12.2922332091772,1.49184791762089,0.435406375274221,1.77118542648386,50.6662319311377
"s6518",674,793.233333333333,25.7863257701257,807.140474392282,14.05411472388,3.76628450358203,0.955676738913612,22.5615168083178,83.3314025823917
"s6557",453,752.270833333333,65.1618201324249,715.947504787654,14.9250487759006,1.61080231950526,0.547825253474462,2.2115343850666,53.046891339406
"s6523",913,1046.55263157895,26.43234359767,1053.06548448329,16.1689464301745,3.89724292000201,0.951145441339822,20.4689189182076,117.9474142085
"s6598",601,601,0,601,12.1618316774414,3.78776926078574,0.956234091033902,22.8488342553245,73.1211207740328
"s6532",812,1175.35051546392,60.8537648840664,1149.72119323586,18.3061452672146,3.44019531004585,0.92262647971155,12.9243182457251,103.104638443104
"s6542",617,867.61320754717,43.9298164905521,939.039589904269,17.762000035886,2.83057884829606,0.890471510162312,9.13004462566695,75.345280711996
"s6597",567,567,0,567,11.8715940070438,3.82786341972874,0.959863651516074,24.9150716936917,68.4310954112914
"s6593",459,550.710144927536,22.6322777852839,575.453355126215,12.3645696783116,1.51440310326608,0.430438807849778,1.75573759901859,53.8418600288377
"s6568",564,564,0,564,11.8527460384707,3.30327306778304,0.899236057285409,9.9241849123793,68.0248091605678
"s6603",576,658.941176470588,18.3524865518129,726.017161874823,14.048594360085,3.43297824428581,0.939290174777799,16.4717983677264,69.6701308379063
"s6530",967,1516.9,107.915291965206,1186.95387554737,16.8842433628837,3.99959578951784,0.950979076477358,20.3994524815125,125.991521300673
"s6503",705,838.009259259259,26.7214142398613,862.518614552493,14.9548845071341,3.4346124992991,0.917986474368603,12.1931107375436,87.7165720805087
"s6604",512,512,0,512,11.3137084989848,3.91620615746662,0.963842901501813,27.6570864791635,60.945406932108
"s6493",688,1234.05263157895,102.348593634073,1050.37519023697,17.5521179840776,3.566629253634,0.940942498425137,16.932649931565,85.3059296451104
"s6564",581,581,0,581,11.94003952631,3.58315814751972,0.932712354052097,14.8615691025101,70.3598495875819
"s6517",771,1484.06818181818,141.921558498535,1103.89005684415,17.5542861542168,3.57845547206954,0.937710491273434,16.0540678589989,97.1669475358568
"s6553",671,826.074074074074,32.5131130047717,822.258145364758,14.4684972617732,3.780123296192,0.950926731444735,20.3776929770599,82.9091103309577
"s6584",610,709.505263157895,22.1747765062998,760.050499292223,14.3406087212921,3.64347333406466,0.946136785312311,18.565546185801,74.3730140007592
"s6472",630,630,0,630,12.5447769438691,3.9037407960225,0.961134749422942,25.7299254514596,77.1543175337322
"s6502",687,16618,2388.26909432215,856.423266856567,14.6572387425775,3.53388760311402,0.922026563981194,12.8248805113425,85.1704084040777
"s6571",628,11654,1812.79837870546,763.125808852232,13.8190708435279,3.71236939237568,0.94883438682433,19.5443763483618,76.878522763809
"s6497",796,949.616071428571,29.5407140044251,977.874597181557,15.904807544766,3.72843526926264,0.941493009495724,17.0919746748368,100.778804166629
"s6489",665,779.078651685393,25.0049689707804,805.097903838715,14.3476331931703,3.77062954033001,0.95223400508923,20.9353956066039,82.0638787459493
"s6592",583,583,0,583,12.0064305240133,3.83780995362387,0.956695414218955,23.0922425873362,70.6377499290748
"s6467",657,848.954545454545,35.2538054951958,887.481825188192,15.2526518332048,2.68653657984838,0.80406949678044,5.10385051621798,80.9388736207903
"s6504",645,714.538461538462,17.1695544611911,729.586278904209,13.4325759160939,3.55380544747155,0.929632461227945,14.2110981490962,79.253720219096
"s6594",582,582,0,582,11.9590509800587,3.77068201307854,0.952447355362859,21.0293246070894,70.4938204124007
"s6541",971,1543.15873015873,102.819973717907,1273.71758298225,18.3098941498189,3.93952098867202,0.950563687928069,20.2280461079899,126.589534497832
"s6519",830,1668.22033898305,146.613160502805,1339.88915966043,20.2791567128913,3.78137704424717,0.955201277865363,22.3220652811172,105.726724478307
"s6546",724,875.981132075472,29.7320356122113,926.794540301963,15.6505521667671,3.70787679306613,0.947724247157695,19.129327568301,90.4268367076425
"s6575",690,823.655172413793,28.4028251083597,833.716048267524,14.4375236875335,3.46234812341741,0.927042050500523,13.7065255652116,85.5927717578507
"s6495",732,851.628571428571,24.8380508329058,873.392587389185,14.8543089876692,3.82395229497739,0.953817469447626,21.6532092988264,91.5702337273147
"s6527",796,796,0,796,13.9508739662471,4.04376736958871,0.963614820818076,27.4837178896399,100.779396215601
"s6581",659,1569,188.347869962982,1122.41815118642,18.6880916726292,3.51915860637764,0.941998583144135,17.2409581387474,81.2176963254138
"s6515",752,858.893442622951,21.9923647502641,898.600614861844,15.0930760434897,3.38867625307092,0.901559804041008,10.1584519439252,94.4365807470063
"s6551",627,627,0,627,12.3932121154717,3.81186188451329,0.955825611368845,22.6375515539046,76.7380651527006
"s6481",600,14461,2151.75052045906,775.194431666901,13.9518426069556,2.93058428131121,0.795227710337413,4.88347325533033,72.9873560836979
"s6499",792,944.509259259259,29.6629090516369,964.154244997936,15.7521031861477,3.88636839708105,0.958108014408287,23.8709143497321,100.204213898487
"s6487",654,1200.85714285714,108.183616447007,996.808552120922,17.0179789325959,3.44799672728235,0.931596797472618,14.6191985616419,80.515505233688
"s6599",680,898.614457831325,42.3512913356573,879.673387379337,15.534848473767,2.46702183289732,0.698673719864855,3.31866174948796,84.1736698481375
"s6580",653,1332.31818181818,135.992270761886,1049.08877006383,17.9349090827082,3.46414450881288,0.935564610965328,15.519422090583,80.3733981684379
"s6529",975,1096.14285714286,25.0754229915072,1089.24877885297,16.2981499230852,4.04519404802205,0.950200398855617,20.0804821127125,127.194566727056
"s6490",588,588,0,588,12.119866189962,3.93090703139891,0.962117063600542,26.3971089636629,71.3261783850475
"s6471",944,1095.18604651163,28.1266030373915,1102.77761898602,16.4886584059941,3.1187508481491,0.820356103695297,5.56656819725092,122.558336819112
"s6606",502,593.181818181818,21.8995078882684,605.121489836755,11.9726762889299,2.2338548934477,0.645491926701403,2.82081023062545,59.5955348060216
"s6524",785,964.106382978723,34.8987375141241,966.749002063437,15.8303131754059,3.80573689370536,0.956148952643272,22.8044724192108,99.1874924274496
"s6468",653,653,0,653,12.7492004974086,3.88488330987362,0.959333341923937,24.5901691289606,80.3721927693028
"s6576",903,1351.44881889764,66.3814836583425,1385.22153233819,20.8713607263796,2.65418904228504,0.826537257346648,5.76492671973025,116.464234502914
"s6582",585,13951,2093.91782657633,770.541336148405,14.0405035665431,3.67514912531737,0.953153228047953,21.3461879726444,70.9139801770416
